 1.41253754e+08  1.41253754e+08  0.00000000e+00  1.41253754e+08  7.09306286e+01  1.41253754e+08  3.51990895e+03 
 1.58489319e+08  1.58489319e+08  0.00000000e+00  1.58489319e+08  7.09110357e+01  1.58489319e+08  3.51197799e+03 
 1.77827941e+08  1.77827941e+08  0.00000000e+00  1.77827941e+08  7.08864945e+01  1.77827941e+08  3.50206922e+03 
 1.99526231e+08  1.99526231e+08  0.00000000e+00  1.99526231e+08  7.08557945e+01  1.99526231e+08  3.48971313e+03 
 2.23872114e+08  2.23872114e+08  0.00000000e+00  2.23872114e+08  7.08174511e+01  2.23872114e+08  3.47434189e+03 
 2.51188643e+08  2.51188643e+08  0.00000000e+00  2.51188643e+08  7.07696550e+01  2.51188643e+08  3.45527606e+03 
 2.81838293e+08  2.81838293e+08  0.00000000e+00  2.81838293e+08  7.07102205e+01  2.81838293e+08  3.43171350e+03 
 3.16227766e+08  3.16227766e+08  0.00000000e+00  3.16227766e+08  7.06365330e+01  3.16227766e+08  3.40272341e+03 
 3.54813389e+08  3.54813389e+08  0.00000000e+00  3.54813389e+08  7.05455058e+01  3.54813389e+08  3.36724946e+03 
 3.98107171e+08  3.98107171e+08  0.00000000e+00  3.98107171e+08  7.04335523e+01  3.98107171e+08  3.32412706e+03 
 4.46683592e+08  4.46683592e+08  0.00000000e+00  4.46683592e+08  7.02965870e+01  4.46683592e+08  3.27212094e+03 
 5.01187234e+08  5.01187234e+08  0.00000000e+00  5.01187234e+08  7.01300696e+01  5.01187234e+08  3.20998852e+03 
 5.62341325e+08  5.62341325e+08  0.00000000e+00  5.62341325e+08  6.99291080e+01  5.62341325e+08  3.13657301e+03 
 6.30957344e+08  6.30957344e+08  0.00000000e+00  6.30957344e+08  6.96886307e+01  6.30957344e+08  3.05092501e+03 
 7.07945784e+08  7.07945784e+08  0.00000000e+00  7.07945784e+08  6.94036334e+01  7.07945784e+08  2.95244400e+03 
 7.94328235e+08  7.94328235e+08  0.00000000e+00  7.94328235e+08  6.90694896e+01  7.94328235e+08  2.84102122e+03 
 8.91250938e+08  8.91250938e+08  0.00000000e+00  8.91250938e+08  6.86822951e+01  8.91250938e+08  2.71715712e+03 
 1.00000000e+09  1.00000000e+09  0.00000000e+00  1.00000000e+09  6.82392017e+01  1.00000000e+09  2.58202287e+03 
 1.12201845e+09  1.12201845e+09  0.00000000e+00  1.12201845e+09  6.77386834e+01  1.12201845e+09  2.43744131e+03 
 1.25892541e+09  1.25892541e+09  0.00000000e+00  1.25892541e+09  6.71806841e+01  1.25892541e+09  2.28577883e+03 
 1.41253754e+09  1.41253754e+09  0.00000000e+00  1.41253754e+09  6.65666167e+01  1.41253754e+09  2.12976084e+03 
 1.58489319e+09  1.58489319e+09  0.00000000e+00  1.58489319e+09  6.58992114e+01  1.58489319e+09  1.97224366e+03 
 1.77827941e+09  1.77827941e+09  0.00000000e+00  1.77827941e+09  6.51822455e+01  1.77827941e+09  1.81598507e+03 
 1.99526231e+09  1.99526231e+09  0.00000000e+00  1.99526231e+09  6.44202046e+01  1.99526231e+09  1.66345184e+03 
 2.23872114e+09  2.23872114e+09  0.00000000e+00  2.23872114e+09  6.36179311e+01  2.23872114e+09  1.51668905e+03 
 2.51188643e+09  2.51188643e+09  0.00000000e+00  2.51188643e+09  6.27803047e+01  2.51188643e+09  1.37725779e+03 
 2.81838293e+09  2.81838293e+09  0.00000000e+00  2.81838293e+09  6.19119866e+01  2.81838293e+09  1.24623323e+03 
 3.16227766e+09  3.16227766e+09  0.00000000e+00  3.16227766e+09  6.10172336e+01  3.16227766e+09  1.12424685e+03 
 3.54813389e+09  3.54813389e+09  0.00000000e+00  3.54813389e+09  6.00997829e+01  3.54813389e+09  1.01155417e+03 
 3.98107171e+09  3.98107171e+09  0.00000000e+00  3.98107171e+09  5.91627912e+01  3.98107171e+09  9.08112307e+02 
 4.46683592e+09  4.46683592e+09  0.00000000e+00  4.46683592e+09  5.82088162e+01  4.46683592e+09  8.13655958e+02 
