-1.00000000e-04  6.92501096e-01 -1.00000000e-04  1.19250110e+00 
-9.90000000e-05  6.94647196e-01 -9.90000000e-05  1.18964720e+00 
-9.80000000e-05  6.96781419e-01 -9.80000000e-05  1.18678142e+00 
-9.70000000e-05  6.98912559e-01 -9.70000000e-05  1.18391256e+00 
-9.60000000e-05  7.01037582e-01 -9.60000000e-05  1.18103758e+00 
-9.50000000e-05  7.03156416e-01 -9.50000000e-05  1.17815642e+00 
-9.40000000e-05  7.05268987e-01 -9.40000000e-05  1.17526899e+00 
-9.30000000e-05  7.07375224e-01 -9.30000000e-05  1.17237522e+00 
-9.20000000e-05  7.09475058e-01 -9.20000000e-05  1.16947506e+00 
-9.10000000e-05  7.11568421e-01 -9.10000000e-05  1.16656842e+00 
-9.00000000e-05  7.13655248e-01 -9.00000000e-05  1.16365525e+00 
-8.90000000e-05  7.15735476e-01 -8.90000000e-05  1.16073548e+00 
-8.80000000e-05  7.17809045e-01 -8.80000000e-05  1.15780905e+00 
-8.70000000e-05  7.19875897e-01 -8.70000000e-05  1.15487590e+00 
-8.60000000e-05  7.21935977e-01 -8.60000000e-05  1.15193598e+00 
-8.50000000e-05  7.23989233e-01 -8.50000000e-05  1.14898923e+00 
-8.40000000e-05  7.26035615e-01 -8.40000000e-05  1.14603561e+00 
-8.30000000e-05  7.28075076e-01 -8.30000000e-05  1.14307508e+00 
-8.20000000e-05  7.30107574e-01 -8.20000000e-05  1.14010757e+00 
-8.10000000e-05  7.32133067e-01 -8.10000000e-05  1.13713307e+00 
-8.00000000e-05  7.34151520e-01 -8.00000000e-05  1.13415152e+00 
-7.90000000e-05  7.36162898e-01 -7.90000000e-05  1.13116290e+00 
-7.80000000e-05  7.38167170e-01 -7.80000000e-05  1.12816717e+00 
-7.70000000e-05  7.40164309e-01 -7.70000000e-05  1.12516431e+00 
-7.60000000e-05  7.42154291e-01 -7.60000000e-05  1.12215429e+00 
-7.50000000e-05  7.44137096e-01 -7.50000000e-05  1.11913710e+00 
-7.40000000e-05  7.46112705e-01 -7.40000000e-05  1.11611270e+00 
-7.30000000e-05  7.48081105e-01 -7.30000000e-05  1.11308110e+00 
-7.20000000e-05  7.50042284e-01 -7.20000000e-05  1.11004228e+00 
-7.10000000e-05  7.51996235e-01 -7.10000000e-05  1.10699624e+00 
-7.00000000e-05  7.53942954e-01 -7.00000000e-05  1.10394295e+00 
-6.90000000e-05  7.55882439e-01 -6.90000000e-05  1.10088244e+00 
-6.80000000e-05  7.57814692e-01 -6.80000000e-05  1.09781469e+00 
-6.70000000e-05  7.59739717e-01 -6.70000000e-05  1.09473972e+00 
-6.60000000e-05  7.61657523e-01 -6.60000000e-05  1.09165752e+00 
-6.50000000e-05  7.63568121e-01 -6.50000000e-05  1.08856812e+00 
-6.40000000e-05  7.65471525e-01 -6.40000000e-05  1.08547152e+00 
-6.30000000e-05  7.67367750e-01 -6.30000000e-05  1.08236775e+00 
-6.20000000e-05  7.69256817e-01 -6.20000000e-05  1.07925682e+00 
-6.10000000e-05  7.71138747e-01 -6.10000000e-05  1.07613875e+00 
-6.00000000e-05  7.73013565e-01 -6.00000000e-05  1.07301357e+00 
-5.90000000e-05  7.74881300e-01 -5.90000000e-05  1.06988130e+00 
-5.80000000e-05  7.76741979e-01 -5.80000000e-05  1.06674198e+00 
-5.70000000e-05  7.78595636e-01 -5.70000000e-05  1.06359564e+00 
-5.60000000e-05  7.80442306e-01 -5.60000000e-05  1.06044231e+00 
-5.50000000e-05  7.82282024e-01 -5.50000000e-05  1.05728202e+00 
-5.40000000e-05  7.84114830e-01 -5.40000000e-05  1.05411483e+00 
-5.30000000e-05  7.85940764e-01 -5.30000000e-05  1.05094076e+00 
-5.20000000e-05  7.87759871e-01 -5.20000000e-05  1.04775987e+00 
-5.10000000e-05  7.89572194e-01 -5.10000000e-05  1.04457219e+00 
-5.00000000e-05  7.91377780e-01 -5.00000000e-05  1.04137778e+00 
-4.90000000e-05  7.93176678e-01 -4.90000000e-05  1.03817668e+00 
-4.80000000e-05  7.94968938e-01 -4.80000000e-05  1.03496894e+00 
-4.70000000e-05  7.96754612e-01 -4.70000000e-05  1.03175461e+00 
