 1.00000000e+06  1.00000000e+06  1.00000000e+06  1.20131318e-11  1.00000000e+06  4.26592122e-08 
 1.12201845e+06  1.12201845e+06  1.12201845e+06  1.14744597e-11  1.12201845e+06  4.07463569e-08 
 1.25892541e+06  1.25892541e+06  1.25892541e+06  1.09626345e-11  1.25892541e+06  3.89288354e-08 
 1.41253754e+06  1.41253754e+06  1.41253754e+06  1.04764419e-11  1.41253754e+06  3.72023356e-08 
 1.58489319e+06  1.58489319e+06  1.58489319e+06  1.00147264e-11  1.58489319e+06  3.55627542e-08 
 1.77827941e+06  1.77827941e+06  1.77827941e+06  9.57638843e-12  1.77827941e+06  3.40061858e-08 
 1.99526231e+06  1.99526231e+06  1.99526231e+06  9.16038120e-12  1.99526231e+06  3.25289136e-08 
 2.23872114e+06  2.23872114e+06  2.23872114e+06  8.76570844e-12  2.23872114e+06  3.11273991e-08 
 2.51188643e+06  2.51188643e+06  2.51188643e+06  8.39142151e-12  2.51188643e+06  2.97982733e-08 
 2.81838293e+06  2.81838293e+06  2.81838293e+06  8.03661702e-12  2.81838293e+06  2.85383276e-08 
 3.16227766e+06  3.16227766e+06  3.16227766e+06  7.70043436e-12  3.16227766e+06  2.73445053e-08 
 3.54813389e+06  3.54813389e+06  3.54813389e+06  7.38205341e-12  3.54813389e+06  2.62138935e-08 
 3.98107171e+06  3.98107171e+06  3.98107171e+06  7.08069231e-12  3.98107171e+06  2.51437146e-08 
 4.46683592e+06  4.46683592e+06  4.46683592e+06  6.79560525e-12  4.46683592e+06  2.41313193e-08 
 5.01187234e+06  5.01187234e+06  5.01187234e+06  6.52608048e-12  5.01187234e+06  2.31741786e-08 
 5.62341325e+06  5.62341325e+06  5.62341325e+06  6.27143828e-12  5.62341325e+06  2.22698770e-08 
 6.30957344e+06  6.30957344e+06  6.30957344e+06  6.03102910e-12  6.30957344e+06  2.14161059e-08 
 7.07945784e+06  7.07945784e+06  7.07945784e+06  5.80423176e-12  7.07945784e+06  2.06106569e-08 
 7.94328235e+06  7.94328235e+06  7.94328235e+06  5.59045179e-12  7.94328235e+06  1.98514158e-08 
 8.91250938e+06  8.91250938e+06  8.91250938e+06  5.38911989e-12  8.91250938e+06  1.91363570e-08 
 1.00000000e+07  1.00000000e+07  1.00000000e+07  5.19969048e-12  1.00000000e+07  1.84635384e-08 
 1.12201845e+07  1.12201845e+07  1.12201845e+07  5.02164049e-12  1.12201845e+07  1.78310965e-08 
 1.25892541e+07  1.25892541e+07  1.25892541e+07  4.85446827e-12  1.25892541e+07  1.72372427e-08 
 1.41253754e+07  1.41253754e+07  1.41253754e+07  4.69769268e-12  1.41253754e+07  1.66802592e-08 
 1.58489319e+07  1.58489319e+07  1.58489319e+07  4.55085245e-12  1.58489319e+07  1.61584968e-08 
 1.77827941e+07  1.77827941e+07  1.77827941e+07  4.41350579e-12  1.77827941e+07  1.56703727e-08 
 1.99526231e+07  1.99526231e+07  1.99526231e+07  4.28523027e-12  1.99526231e+07  1.52143694e-08 
 2.23872114e+07  2.23872114e+07  2.23872114e+07  4.16562299e-12  2.23872114e+07  1.47890346e-08 
 2.51188643e+07  2.51188643e+07  2.51188643e+07  4.05430122e-12  2.51188643e+07  1.43929821e-08 
 2.81838293e+07  2.81838293e+07  2.81838293e+07  3.95090334e-12  2.81838293e+07  1.40248944e-08 
 3.16227766e+07  3.16227766e+07  3.16227766e+07  3.85509033e-12  3.16227766e+07  1.36835254e-08 
 3.54813389e+07  3.54813389e+07  3.54813389e+07  3.76654775e-12  3.54813389e+07  1.33677061e-08 
 3.98107171e+07  3.98107171e+07  3.98107171e+07  3.68498835e-12  3.98107171e+07  1.30763507e-08 
 4.46683592e+07  4.46683592e+07  4.46683592e+07  3.61015541e-12  4.46683592e+07  1.28084652e-08 
 5.01187234e+07  5.01187234e+07  5.01187234e+07  3.54182691e-12  5.01187234e+07  1.25631573e-08 
 5.62341325e+07  5.62341325e+07  5.62341325e+07  3.47982060e-12  5.62341325e+07  1.23396498e-08 
 6.30957344e+07  6.30957344e+07  6.30957344e+07  3.42400032e-12  6.30957344e+07  1.21372949e-08 
 7.07945784e+07  7.07945784e+07  7.07945784e+07  3.37428352e-12  7.07945784e+07  1.19555921e-08 
 7.94328235e+07  7.94328235e+07  7.94328235e+07  3.33065043e-12  7.94328235e+07  1.17942092e-08 
 8.91250938e+07  8.91250938e+07  8.91250938e+07  3.29315501e-12  8.91250938e+07  1.16530051e-08 
 1.00000000e+08  1.00000000e+08  1.00000000e+08  3.26193793e-12  1.00000000e+08  1.15320571e-08 
 1.12201845e+08  1.12201845e+08  1.12201845e+08  3.23724193e-12  1.12201845e+08  1.14316891e-08 
 1.25892541e+08  1.25892541e+08  1.25892541e+08  3.21942976e-12  1.25892541e+08  1.13525017e-08 
 1.41253754e+08  1.41253754e+08  1.41253754e+08  3.20900483e-12  1.41253754e+08  1.12954016e-08 
 1.58489319e+08  1.58489319e+08  1.58489319e+08  3.20663468e-12  1.58489319e+08  1.12616272e-08 
 1.77827941e+08  1.77827941e+08  1.77827941e+08  3.21317703e-12  1.77827941e+08  1.12527651e-08 
 1.99526231e+08  1.99526231e+08  1.99526231e+08  3.22970799e-12  1.99526231e+08  1.12707510e-08 
 2.23872114e+08  2.23872114e+08  2.23872114e+08  3.25755162e-12  2.23872114e+08  1.13178446e-08 
 2.51188643e+08  2.51188643e+08  2.51188643e+08  3.29830956e-12  2.51188643e+08  1.13965665e-08 
 2.81838293e+08  2.81838293e+08  2.81838293e+08  3.35388922e-12  2.81838293e+08  1.15095832e-08 
 3.16227766e+08  3.16227766e+08  3.16227766e+08  3.42652857e-12  3.16227766e+08  1.16595252e-08 
 3.54813389e+08  3.54813389e+08  3.54813389e+08  3.51881599e-12  3.54813389e+08  1.18487272e-08 
 3.98107171e+08  3.98107171e+08  3.98107171e+08  3.63370390e-12  3.98107171e+08  1.20788892e-08 
 4.46683592e+08  4.46683592e+08  4.46683592e+08  3.77451612e-12  4.46683592e+08  1.23506686e-08 
 5.01187234e+08  5.01187234e+08  5.01187234e+08  3.94495048e-12  5.01187234e+08  1.26632407e-08 
 5.62341325e+08  5.62341325e+08  5.62341325e+08  4.14907983e-12  5.62341325e+08  1.30138864e-08 
 6.30957344e+08  6.30957344e+08  6.30957344e+08  4.39135603e-12  6.30957344e+08  1.33976919e-08 
 7.07945784e+08  7.07945784e+08  7.07945784e+08  4.67662208e-12  7.07945784e+08  1.38074582e-08 
 7.94328235e+08  7.94328235e+08  7.94328235e+08  5.01013750e-12  7.94328235e+08  1.42338997e-08 
 8.91250938e+08  8.91250938e+08  8.91250938e+08  5.39762023e-12  8.91250938e+08  1.46661742e-08 
 1.00000000e+09  1.00000000e+09  1.00000000e+09  5.84530703e-12  1.00000000e+09  1.50927076e-08 
 1.12201845e+09  1.12201845e+09  1.12201845e+09  6.36003214e-12  1.12201845e+09  1.55021954e-08 
 1.25892541e+09  1.25892541e+09  1.25892541e+09  6.94932258e-12  1.25892541e+09  1.58846040e-08 
 1.41253754e+09  1.41253754e+09  1.41253754e+09  7.62150796e-12  1.41253754e+09  1.62319779e-08 
 1.58489319e+09  1.58489319e+09  1.58489319e+09  8.38584220e-12  1.58489319e+09  1.65389121e-08 
 1.77827941e+09  1.77827941e+09  1.77827941e+09  9.25263522e-12  1.77827941e+09  1.68026346e-08 
 1.99526231e+09  1.99526231e+09  1.99526231e+09  1.02333927e-11  1.99526231e+09  1.70227425e-08 
 2.23872114e+09  2.23872114e+09  2.23872114e+09  1.13409625e-11  2.23872114e+09  1.72006997e-08 
 2.51188643e+09  2.51188643e+09  2.51188643e+09  1.25896862e-11  2.51188643e+09  1.73392289e-08 
 2.81838293e+09  2.81838293e+09  2.81838293e+09  1.39955531e-11  2.81838293e+09  1.74417085e-08 
 3.16227766e+09  3.16227766e+09  3.16227766e+09  1.55763537e-11  3.16227766e+09  1.75116516e-08 
 3.54813389e+09  3.54813389e+09  3.54813389e+09  1.73518268e-11  3.54813389e+09  1.75522974e-08 
 3.98107171e+09  3.98107171e+09  3.98107171e+09  1.93437908e-11  3.98107171e+09  1.75663189e-08 
 4.46683592e+09  4.46683592e+09  4.46683592e+09  2.15762481e-11  4.46683592e+09  1.75556272e-08 
 5.01187234e+09  5.01187234e+09  5.01187234e+09  2.40754426e-11  5.01187234e+09  1.75212496e-08 
 5.62341325e+09  5.62341325e+09  5.62341325e+09  2.68698438e-11  5.62341325e+09  1.74632583e-08 
 6.30957344e+09  6.30957344e+09  6.30957344e+09  2.99900231e-11  6.30957344e+09  1.73807338e-08 
 7.07945784e+09  7.07945784e+09  7.07945784e+09  3.34683715e-11  7.07945784e+09  1.72717524e-08 
 7.94328235e+09  7.94328235e+09  7.94328235e+09  3.73385985e-11  7.94328235e+09  1.71334031e-08 
 8.91250938e+09  8.91250938e+09  8.91250938e+09  4.16349303e-11  8.91250938e+09  1.69618399e-08 
 1.00000000e+10  1.00000000e+10  1.00000000e+10  4.63909151e-11  1.00000000e+10  1.67523930e-08 
